User	под	here	want	how	rt	ru	re	that	если	than	меня	спасибо	очень	время	has	right	for	support	может	time	love	working	всегда	все	so	его	2	s	теперь	with	an	as	at	тоже	to	много	via	more	он	об	к	от	see	d	всё	be	by	into	up	us	m	видео	try	video	let	great	next	о	this	москве	по	2011	без	should	ve	ли	мне	work	then	they	just	do	we	com	the	мы	thanks	got	есть	was	кстати	can	still	not	now	ну	но	ни	3	нет	using	your	только	you	как	этот	тут	сейчас	a	help	soon	7	где	будет	нужно	просто	some	россии	после	пока	i	twitter	sorry	new	у	было	года	уже	don	19	00	is	it	in	if	make	yes	www	со	надо	более	mac	first	11	10	beta	get	они	ты	4	завтра	или	то	еще	27	я	бы	когда	8	lion	что	bit	from	до	да	новый	кто	ly	day	вы	ipad	have	ios	like	about	but	нам	нас	would	my	free	всех	всем	день	no	вас	ll	вам	iphone	today	1	из	and	sure	вот	ничего	on	of	or	there	5	all	what	version	так	там	это	про	store	через	are	можно	сегодня	live	лучше	apple	app	use	something	our	out	для	update	за	же	will	know
Drakonn77	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	1	0	4	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	3	0	1	0	0	3	99	0	3	0	1	1	99	0	3	0	0	0	0	0	0	0	1	0	1	0	2	1	2	0	3	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	1	1	0	0
GoritBilet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	5	4	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	53	0	6	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	2	0	0	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
V_Zhirinovsky	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	61	0	0	0	0	1	61	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0
myen	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
geranin	1	0	0	0	2	6	0	0	7	0	3	2	4	3	0	0	0	0	4	0	0	0	0	13	0	3	8	2	4	0	0	0	0	2	0	2	1	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	4	0	2	0	0	0	0	3	6	5	2	3	0	0	2	0	15	0	5	1	0	0	0	0	1	3	1	3	0	0	1	1	0	0	0	0	10	3	3	4	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	2	2	2	4	2	19	7	0	16	0	1	1	0	20	0	0	5	6	3	5	0	0	1	0	0	0	0	0	0	3	3	0	0	0	0	2	6	0	0	0	0	1	0	3	12	0	0	10	3	0	0	0	0	0	0	0	0	5	5	10	10	0	3	0	1	6	0	2	0	0	0	0	0	0	8	0	6	7	0	0
macovod_net	2	0	0	0	5	0	0	0	1	0	1	0	3	1	0	0	0	0	2	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	2	0	0	1	0	4	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	3	0	3	3	0	0	5	0	4	0	0	2	0	0	0	5	0	1	0	0	0	0	2	1	0	1	0	0	3	0	2	4	0	0	0	0	0	0	0	0	0	0	1	0	1	10	0	0	7	4	0	3	0	3	0	0	4	2	0	0	0	0	2	8	7	0	1	2	2	2	2	0	0	0	4	0	10	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	7	0	4	4	0	0	1	0	0	0	0	0	11	0	0	0	4	2	6	0	8	0	0	3	3	0	0	25	6	0	0	0	0	17	0	4	0	0	0
wicked_child	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
okeanelzy	0	0	0	0	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	23	0	1	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	3	0	0	1	0	1	0	0	0	7	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	0	0	0	6	14	0	0	0	0	1	3	1	2	0	3	4	0	0	2	0	0	0	0	6	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	7	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
BarackObama	0	6	3	3	1	0	9	7	0	3	0	0	0	0	2	2	18	9	0	2	0	2	0	0	2	0	0	28	0	14	3	4	16	0	64	0	0	4	0	0	0	0	3	1	0	8	2	1	2	4	1	0	1	1	5	2	2	0	20	0	0	0	0	2	4	0	0	5	2	6	3	2	26	0	98	0	0	2	0	1	0	5	0	0	3	0	0	0	0	0	2	18	0	28	0	0	0	0	28	3	0	0	0	0	0	0	0	0	0	0	3	2	0	6	0	0	0	0	0	0	0	5	14	22	6	2	0	0	0	0	0	0	4	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	15	0	0	8	0	4	10	0	0	0	2	0	0	0	0	0	1	0	8	0	0	19	1	0	37	0	0	0	16	27	5	1	2	4	8	0	0	0	0	0	0	0	4	0	0	9	0	0	0	2	0	12	8	0	0	0	0	8	5
teodorfest	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JimCarrey	0	1	2	0	0	0	2	11	0	2	0	0	0	0	0	1	6	0	0	5	9	0	0	0	6	0	14	16	0	1	0	3	5	0	8	0	0	1	0	0	0	0	0	5	0	5	1	0	2	0	3	0	1	1	9	1	1	0	1	0	0	0	0	4	1	0	0	1	2	4	0	4	0	4	36	0	0	0	0	7	0	3	0	1	1	0	0	0	0	0	0	14	0	15	0	0	0	0	25	1	0	0	0	0	0	0	0	0	0	0	29	2	2	2	0	0	0	0	2	0	0	16	18	12	3	2	1	4	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	1	0	0	8	0	4	1	2	0	0	0	10	2	0	0	0	4	0	1	0	0	1	1	0	23	0	0	0	8	11	5	0	0	1	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	1	0	0	0	0	2	3
DaisyDisk	0	1	1	2	0	0	8	8	0	3	0	0	0	0	2	1	14	3	0	2	0	1	0	1	4	0	14	16	0	5	1	6	3	0	32	1	0	2	0	0	0	0	4	6	0	8	5	2	1	4	0	0	1	0	2	1	3	0	6	0	1	0	0	0	3	0	0	2	0	2	7	4	16	0	13	0	6	0	0	0	0	1	4	9	7	0	1	0	3	0	1	2	1	15	1	0	1	0	19	0	2	1	0	0	0	1	6	0	0	0	3	0	0	6	0	0	0	1	2	0	0	14	22	14	2	1	0	0	0	1	0	3	1	0	5	5	3	0	0	1	0	0	0	0	4	0	0	0	1	9	0	0	2	1	0	0	1	0	0	0	0	5	0	3	2	3	1	0	2	0	2	0	0	0	2	0	9	0	0	0	12	0	15	3	1	0	8	11	0	5	2	0	6	6	0	0	1	0	2	0	4	0	0	0	0	3	4	3	0	7	5	0	2	0	0	3	2
headfirstlabs	0	1	0	3	60	0	8	6	0	2	0	0	0	0	2	3	35	2	0	2	0	4	0	0	3	0	7	19	0	11	9	7	5	0	26	0	1	5	0	0	0	0	0	0	0	8	5	2	2	9	2	0	0	2	0	7	4	0	7	0	0	2	0	1	2	0	0	3	0	2	7	2	15	10	38	0	4	3	0	1	0	2	1	2	11	0	0	0	4	0	0	3	0	9	0	0	0	0	23	1	3	3	0	0	0	0	2	0	0	0	7	1	1	5	0	0	0	0	1	3	0	23	15	20	2	3	3	1	0	0	0	1	36	1	2	0	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	7	4	0	0	0	0	34	16	0	7	5	2	1	2	3	0	0	2	5	12	0	0	0	2	0	3	0	6	5	7	0	16	1	0	0	23	34	5	1	2	5	2	2	0	0	0	0	0	0	3	0	0	0	0	0	3	2	2	2	10	0	0	0	0	3	1
ru_inspire	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	1	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ForbesRussia	2	0	0	0	4	0	0	0	2	0	0	2	0	1	0	0	0	0	3	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	4	1	9	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	13	0	0	11	1	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	0	4	0	1	0	0	0	0	0	5	1	1	4	0	0	1	1	15	1	0	0	0	0	0	0	2	4	0	0	0	3	1	0	0	0	0	0	3	1	1	2	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	3	0	0	1	0	1	1	2	3	1	0	0	1	0	2	0	8	0	0	4	3	0	2	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	3	0	3	7	0	0	1	2	0	0	0	0	2	0	0	0	2	2	2	0	0	0	0	3	1	0	2	1	0	0	0	0	0	5	0	6	1	0	0
GoogleRussia	0	0	0	0	0	4	0	0	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	3	0	0	0	0	0	1	1	0	0	1	2	2	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	1	0	0	0	0	1	0	0	1	0	1	2	0	0	3	0	3	0	0	1	0	0	0	1	0	2	2	0	0	5	0	2	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	4	1	0	3	1	0	0	1	0	0	0	4	2	0	0	0	3	5	3	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	4	6	0	0	0	1	0	0	0	0	8	0	1	0	0	0
OReillyMedia	0	2	3	0	18	0	1	7	0	1	0	0	0	0	2	0	17	1	0	1	1	0	0	0	3	0	7	20	0	4	6	4	10	0	27	0	10	4	0	0	0	0	1	1	0	1	3	0	5	3	1	0	2	5	2	6	1	0	6	0	0	0	0	1	1	0	0	0	0	2	3	3	9	7	25	0	3	1	0	2	0	6	0	1	3	0	0	0	0	0	0	8	0	11	0	0	0	0	10	3	0	1	0	0	0	0	2	0	0	0	8	0	1	11	0	0	0	0	2	1	0	11	9	15	3	1	4	0	0	0	0	1	2	2	1	0	5	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	5	0	0	0	0	0	15	0	1	3	0	0	2	0	0	0	0	0	15	0	0	0	2	0	1	0	4	9	3	0	7	0	0	0	15	16	5	4	8	5	4	1	0	0	0	0	1	0	3	0	0	4	0	1	8	1	2	11	6	0	1	0	0	2	1
Mike_tompkins	0	1	1	1	0	0	1	3	0	1	0	0	0	0	0	0	5	3	0	1	6	2	0	0	5	0	0	2	0	1	0	0	1	0	8	0	0	1	0	0	0	0	0	1	0	1	3	0	2	0	3	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	2	1	1	8	0	24	0	0	2	0	1	1	0	0	0	0	0	0	0	0	3	0	28	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	1	0	0	1	4	1	0	1	4	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	2	0	0	0	1	4	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1	2	0	1	0	2	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Aptana	0	5	0	3	0	0	9	24	0	1	0	0	0	0	0	1	12	2	0	0	0	2	0	0	7	0	1	13	0	7	9	8	2	0	35	0	0	2	0	0	0	0	7	1	0	7	4	0	2	5	2	0	9	0	3	2	0	0	4	0	0	0	0	5	4	0	0	1	0	2	0	5	26	1	34	0	4	2	0	4	0	18	4	9	3	0	0	0	16	0	2	4	0	46	0	0	0	0	42	3	0	1	0	0	0	0	4	0	0	0	11	0	6	3	0	0	0	0	1	0	0	14	25	27	13	4	5	0	0	0	0	1	2	0	0	7	5	0	0	5	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	3	0	0	9	0	5	3	9	0	0	5	0	0	0	0	0	2	0	3	0	0	0	1	0	13	5	0	0	13	13	3	8	7	1	21	1	0	0	0	0	1	0	12	0	0	0	0	0	1	0	1	1	2	0	6	0	0	3	3
olyapka	1	0	0	0	0	0	0	0	1	0	3	1	0	1	0	0	0	0	3	0	0	0	0	8	0	1	0	0	1	0	0	0	0	5	0	1	1	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	3	5	2	0	4	0	0	3	0	7	0	5	3	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	4	0	0	2	6	1	0	15	2	1	0	0	5	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	2	3	0	0	0	2	2	0	0	1	0	0	0	0	1	1	0	0	2	2	0	0	0	0	0	0	0	0	3	2	8	0	0	0	0	3	3	0	1	0	0	0	0	0	0	3	0	2	4	0	0
AppStore	0	2	0	3	0	0	3	1	0	2	0	0	0	0	1	2	45	0	0	16	3	0	0	0	0	0	1	9	0	46	8	2	1	0	29	0	3	7	0	0	0	0	3	2	0	4	3	4	5	0	0	0	3	3	1	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	2	0	44	0	0	2	0	0	0	4	0	1	1	0	0	0	0	0	2	27	0	15	0	0	0	0	43	2	0	0	0	0	0	0	1	0	0	0	2	2	0	4	0	0	0	0	0	0	0	14	9	9	2	1	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	15	5	2	2	3	2	0	0	0	1	25	0	0	0	2	0	0	0	34	2	0	0	46	1	0	0	19	17	4	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	18	4	0	0	7	0	0	0	0	2	0
ru_events	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	87	0	0	0	0	0	0	0	0	0	0	0	0	22	20	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
glebarhangelsky	2	0	0	0	0	4	0	0	4	0	1	2	5	9	0	0	0	0	3	0	0	0	2	7	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	7	1	1	0	0	3	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	5	1	2	1	0	0	2	0	12	2	1	0	0	0	0	2	2	1	5	0	0	2	2	0	0	0	0	0	3	1	1	1	0	2	6	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	0	0	1	2	1	4	5	4	0	4	5	1	0	0	12	0	0	2	1	0	2	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	6	0	0	2	1	0	0	0	0	2	0	0	0	3	2	3	8	0	2	0	1	7	0	0	0	0	0	0	0	0	12	0	7	2	0	0
glenru	0	0	0	0	4	0	0	0	3	0	3	1	3	0	0	0	1	0	0	0	1	0	0	1	1	2	2	3	0	0	1	0	1	1	0	1	2	0	1	1	3	1	0	0	5	10	0	0	0	1	1	1	0	12	0	0	0	0	1	0	1	0	3	0	0	2	2	0	0	0	9	0	0	9	1	2	0	0	4	0	2	0	0	0	0	1	10	1	3	0	1	0	1	0	11	1	3	3	30	0	0	1	2	0	1	4	0	0	2	2	15	1	0	0	4	2	0	4	0	0	1	0	2	1	0	0	0	0	1	2	0	1	0	0	2	0	0	0	0	2	1	1	12	0	0	5	1	0	2	0	12	1	0	0	7	0	0	3	0	2	6	0	0	0	0	0	1	0	0	0	0	1	1	1	0	3	0	1	0	0	5	4	1	0	1	1	0	1	0	0	3	0	0	0	9	0	9	0	0	3	0	1	1	0	2	2	1	0	0	0	1	5	0	4	1	0	0
qzminn	1	0	0	0	0	3	0	0	3	0	6	4	1	3	0	0	0	0	0	0	0	0	3	9	0	0	0	0	3	0	0	0	0	2	0	5	1	0	2	2	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	7	0	0	0	0	0	4	0	0	0	0	0	0	1	0	4	0	0	6	0	1	0	0	0	0	1	0	1	0	2	0	0	4	0	6	1	0	1	0	0	0	0	2	3	0	1	0	1	1	0	0	0	0	0	8	3	0	6	0	0	1	0	0	0	0	0	0	0	3	4	0	0	0	1	0	0	0	2	2	0	3	0	5	4	0	11	3	1	0	0	11	0	0	1	6	0	3	0	0	2	0	0	0	0	0	0	1	1	0	0	0	2	4	5	0	1	0	1	1	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	2	1	4	3	0	1	0	1	5	0	0	0	0	0	0	0	0	4	0	4	1	0	0
Icetap_TaskFlow	0	3	1	6	7	0	7	7	0	2	0	0	0	0	0	1	39	3	0	1	2	5	0	0	1	0	9	9	0	6	3	7	5	0	37	0	3	1	0	0	0	0	1	0	0	16	2	0	3	5	0	0	1	5	0	3	1	0	4	0	0	0	0	2	1	0	0	0	2	8	5	0	34	7	24	0	19	3	0	3	0	1	3	7	8	0	0	0	1	0	1	11	0	11	0	0	0	0	24	1	4	0	0	0	0	0	6	0	0	0	7	0	2	2	0	0	0	0	0	0	0	29	25	10	0	0	0	4	0	0	0	0	3	0	0	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	19	5	0	18	8	0	3	5	5	0	0	3	0	8	0	0	0	6	0	0	0	24	0	5	0	18	4	0	0	12	11	1	6	0	6	4	3	0	0	0	0	2	0	12	0	0	1	0	4	14	1	0	15	14	0	0	0	0	18	0
scraplr	0	0	2	4	5	0	25	3	0	0	0	0	0	0	0	2	41	3	0	2	1	3	0	0	2	0	0	10	0	7	7	8	11	0	39	0	2	2	0	0	0	0	1	2	0	6	3	0	2	11	0	0	2	0	4	0	0	0	0	0	0	0	0	1	2	0	0	1	0	3	8	1	32	14	32	0	25	1	0	3	0	5	6	4	2	0	0	0	0	0	5	14	0	34	0	0	0	0	10	1	1	0	0	0	0	0	3	0	0	0	1	5	2	1	0	0	0	0	0	0	0	22	18	16	1	0	7	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	14	0	0	2	0	0	4	2	3	0	0	3	0	0	0	0	0	4	0	6	0	6	0	0	0	15	1	0	0	15	7	1	4	0	1	2	2	0	0	0	0	0	0	2	0	0	2	0	0	11	2	1	11	6	0	2	0	0	3	6
paragulgov	1	0	0	1	2	0	0	2	2	1	0	1	0	0	0	1	0	0	0	0	0	0	3	2	0	1	3	4	0	1	0	0	4	1	9	0	0	0	1	0	0	0	0	0	0	0	6	1	1	0	4	0	0	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	6	0	1	0	3	1	0	0	1	0	1	0	0	1	0	0	0	0	1	2	0	3	0	2	3	1	2	0	5	0	0	0	1	1	1	0	0	1	0	1	15	0	0	0	3	2	0	1	2	0	0	5	2	3	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	4	1	0	1	2	1	0	0	4	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	1	0	4	1	0	0	2	0	0	0	0	1	0	0	0	0	2	0	2	0	2	0	0	0	0	0	1	1	0	0	0	1	0
