,driver_num,track_num,v,a,v_r,accel
152,3.0,56.0,14.808333834296677,1.4791048190736173,8.360996105359606,1.4775572617672346
153,3.0,57.0,12.919240450425677,1.1282006095706487,6.6073335093955565,1.000869279916854
154,3.0,58.0,14.789532746392938,1.0254091972821122,8.852491610741868,0.7977434472850762
155,3.0,59.0,10.645295493770384,1.3808818354868864,7.6770834564821975,1.5433133899241493
157,3.0,60.0,11.978394303253976,1.4866094835593886,7.384920067635113,1.2025308099405034
158,3.0,61.0,15.189926730444675,1.2633434616239505,8.225604448715112,1.1669794617960019
159,3.0,62.0,14.315469974803499,1.1404243118360071,7.179405286248349,1.10046002539241
160,3.0,63.0,18.51310478870775,1.3581424474543038,8.604445301577712,1.4698978612149034
161,3.0,64.0,15.451114581192089,1.4010501182847275,9.408927585213204,1.3217770544395577
162,3.0,65.0,15.286335818335463,1.1526879379305761,8.612717717419365,1.1288991564453799
163,3.0,66.0,11.778288722407193,1.5350998097287762,8.75768093564966,0.9814090891364611
164,3.0,67.0,12.248686727253347,1.1235966699424296,8.645602696777452,1.1235966699424296
165,3.0,68.0,15.407601600887178,1.2116356113363862,9.758947356368648,1.1046454955997085
166,3.0,69.0,17.948206123435227,0.9095940815410364,6.136854573661901,1.0287634010715028
168,3.0,70.0,13.94959451896666,1.440587979709159,8.517426990789188,1.3054506735887497
169,3.0,71.0,10.266482239839123,1.2233823393334644,7.820600576846639,1.0589964001951042
170,3.0,72.0,14.093944818348522,1.0654701422334156,8.816898050576565,0.9435860457846488
171,3.0,73.0,14.041056978314101,1.2204524574419793,9.056079445260838,1.601756342986695
172,3.0,74.0,13.604229751455742,1.3501409694105533,9.83752496235232,1.1851703969385792
173,3.0,75.0,10.154783951177802,1.397171118262265,7.431226272133619,0.6317634361894271
174,3.0,76.0,14.331881019388272,1.4536113520631249,8.658990430092047,1.3755838864867709
175,3.0,77.0,14.658724111874603,1.0927674612133345,6.944855578735527,1.4170272141506395
176,3.0,78.0,14.2733305093622,1.3887765412675073,9.200763737166914,1.312156158863048
177,3.0,79.0,11.260037892308807,1.7035467088778216,7.550725981114739,1.6437314436762822
179,3.0,80.0,16.033762131606622,1.1636005536824001,5.885818352268067,1.3744866971664482
180,3.0,81.0,11.907018256098732,1.011022037329929,8.232620053670418,0.8244396644536494
181,3.0,82.0,10.662483135867213,1.5892896650932649,7.765380228721563,1.5892896650932649
182,3.0,83.0,0.15391449298586238,0.0,0.0,0.0
183,3.0,84.0,0.14163880886823982,0.0,0.0,0.0
184,3.0,85.0,14.616710116639196,1.5573133450465377,9.895005094620192,1.5573133450465377
185,3.0,86.0,22.30064742853342,1.4049212430737104,8.178883770739647,1.1513331878276567
186,3.0,87.0,15.169884418432202,1.4244212429508645,7.656530390853054,1.2936448434792478
187,3.0,88.0,4.917754975507158,1.2975888950459762,5.061580271574001,0.0
188,3.0,89.0,13.221681359652706,1.9847908895316513,10.464903302722835,1.743473730547052
190,3.0,90.0,7.928218508781786,1.4623060442324238,6.107334893626881,1.266992465880934
191,3.0,91.0,12.911623885020479,1.180666125618294,8.253655167209569,1.1760732779060294
192,3.0,92.0,15.992906390409576,1.338619830261738,9.882754399497276,1.120042567388646
193,3.0,93.0,11.923317603098724,1.5091029057331244,5.542335341922391,1.759367652866782
194,3.0,94.0,14.114442172951494,1.1967728533688522,7.823493926785574,1.1841490350026858
195,3.0,95.0,11.335122189707477,1.0342066286074383,6.3664027620012575,0.9556667387149655
196,3.0,96.0,10.673212477878296,2.128690508973177,7.6456016793429775,1.7236603990649488
197,3.0,97.0,8.305549370704837,1.0780081393756973,6.081163120894657,0.9461948105585805
198,3.0,98.0,11.640187126630979,1.2414911461912475,7.59531621912563,0.7725434057175455
199,3.0,99.0,13.957485085377506,0.9305953239983857,7.34784249077695,0.8643095531183143
2,3.0,100.0,15.413160825460865,1.389671091964006,8.583953877202974,1.1106676930535206
3,3.0,101.0,12.667579831686888,1.252312648556675,7.699308794817208,1.370859266665886
4,3.0,102.0,9.63539539779408,1.0888050417126722,4.278484945539878,0.0
5,3.0,103.0,13.9289304898613,1.3305126960551146,8.951511464369524,1.3305126960551146
6,3.0,104.0,11.023925523725335,1.1971998626537719,7.8500841250526925,0.9977558910058955
7,3.0,105.0,15.522616874141315,1.2974824082779097,9.943404940885696,1.2224380269677164
8,3.0,106.0,15.18922258460467,1.6893985074651088,10.105296314988754,1.5390094747006557
9,3.0,107.0,9.826072113417787,1.33002972044107,7.69276333928053,1.4134956175175653
10,3.0,108.0,8.245102894255796,1.3326378798194591,8.346848383218816,0.0
11,3.0,109.0,8.328035833409068,1.416851939715178,5.741441240936823,1.8169821830516462
13,3.0,110.0,15.41966758464731,1.4394647604857145,8.298269431701906,1.2994091276374053
14,3.0,111.0,12.32498534793452,1.9292239066270982,8.48431581263301,1.5337371787167715
15,3.0,112.0,12.49910002130616,1.1998647550494628,8.132922680830115,0.8244345661931378
16,3.0,113.0,13.952941809480862,1.5743739613799121,9.051454054758265,1.4776766684993357
17,3.0,114.0,13.28253661495526,1.2902240040753945,8.533217433523227,1.0227531907482765
18,3.0,115.0,12.326201066611349,1.2768543329627784,7.0737895630306005,0.5535822292926458
19,3.0,116.0,14.76911251709809,1.0957105749632792,8.727200667032815,1.0957105749632792
20,3.0,117.0,13.447623125977598,1.506184607947807,9.154613403159596,1.2161500759990966
21,3.0,118.0,15.405732314177506,1.0772155395533236,7.464362494395546,1.0125886723105264
22,3.0,119.0,13.716873934900184,1.4213091967214089,9.56399077180797,1.1362671930236452
24,3.0,120.0,15.296770878282462,1.2836376208055427,5.440243657620123,0.7737260042842742
25,3.0,121.0,11.3814885584987,1.1284815810964535,4.352716073757541,0.8043146344217806
26,3.0,122.0,11.402189345651765,1.1166802134468972,5.588758673594665,0.8022379128987218
27,3.0,123.0,10.488153255451383,1.5828436864100066,8.51489138532236,1.0903027785182449
28,3.0,124.0,31.72516628230701,1.2966613477736395,11.710571195262448,1.113576495769646
29,3.0,125.0,12.357313499266413,1.2770003550754954,10.035394630348634,1.2050522011687423
30,3.0,126.0,13.835210975195047,1.6057742133031603,9.157234064107527,1.6095627262854881
31,3.0,127.0,9.918074751213954,1.183220915876797,7.597343922758298,0.6179995442964659
32,3.0,128.0,13.679227334750275,1.4115257575029014,8.983761256820054,1.0111867114833153
33,3.0,129.0,15.24930522939894,1.5825553039283324,9.933645260503612,1.3266327494291223
35,3.0,130.0,15.693981556156402,1.5475743753192202,8.163258903118773,1.458688969540157
36,3.0,131.0,10.567039436928997,1.4606569379650818,5.00242719257062,1.3915572929600533
37,3.0,132.0,11.856591870153466,1.0032992176526232,6.233265064110901,0.9720316888111196
38,3.0,133.0,10.16609340855132,1.72825540264994,6.37638093274515,1.72825540264994
39,3.0,134.0,13.26339844352157,1.206269547687885,8.260939758489174,1.18992739152836
40,3.0,135.0,15.55076558382508,1.3178199441383445,9.470725066182132,1.1733990107056673
41,3.0,136.0,13.122685584153183,1.5001477398435652,8.576985679109047,1.6237988358839717
42,3.0,137.0,12.920508232297863,1.2730803283876906,9.110355176023456,1.0454036105732145
43,3.0,138.0,15.943506575627802,1.3882618071491404,7.725157687320939,1.4122298231875785
44,3.0,139.0,12.203694376401948,1.8485754759983424,9.30722284481249,1.0537805118470995
46,3.0,140.0,14.533094320762366,1.3888761538083756,8.039298253222084,1.3166474807008086
47,3.0,141.0,14.13433379093094,1.5072444721884253,10.272748627362393,1.2596146297017068
48,3.0,142.0,12.396000130031183,1.2826902717292672,9.457828055940118,1.2643653604145335
49,3.0,143.0,10.123540788208977,1.359846933545735,9.237974308366677,1.0189458882418823
50,3.0,144.0,6.841150531964612,0.9804101240199108,5.939458130814586,0.8649921930781668
51,3.0,145.0,20.83516979583995,1.3751077152290865,9.189520465870716,1.4002115390369534
52,3.0,146.0,15.49062499623254,1.3076775798827018,8.492131976768716,1.2065450518758745
53,3.0,147.0,15.731010604835047,1.4324950352690502,9.826803644408983,1.3042544095640816
54,3.0,148.0,11.159100115091569,1.1785257734159291,8.630265664307668,0.8929592850209191
55,3.0,149.0,21.577703579255633,1.2469926845057078,7.13394873663303,1.3254516858021708
57,3.0,150.0,14.51754405707348,1.4599552489065815,9.600862890231758,1.3243982792795421
58,3.0,151.0,15.36711720247726,3.401994040368619,12.870491179887924,3.972788629519826
59,3.0,152.0,14.683947264901231,1.4179653076784726,9.555568772143872,1.1248010306217475
60,3.0,153.0,9.965917907135573,1.2697715556965044,6.308741999648399,1.2387105663909352
61,3.0,154.0,14.587811809527587,1.637080906829997,7.797981098119846,1.3263004242714374
62,3.0,155.0,13.473332860364485,1.1831518660167273,8.293631788894647,1.2396373644102914
63,3.0,156.0,14.84497277920412,1.0494263174431815,7.810301220586953,0.8865621329465885
64,3.0,157.0,19.762181561824644,1.1481114295729675,9.080910286667152,1.0427462356136274
65,3.0,158.0,14.893723462081523,1.9631703169587125,9.346668584016362,1.5151256192527374
66,3.0,159.0,0.5962743513902885,0.0,0.0,0.0
68,3.0,160.0,14.364194473345005,1.638513156295149,10.211852838151096,1.5523447375648836
69,3.0,161.0,12.003900919553624,1.038330938764858,7.330804275192219,0.6603696649016122
70,3.0,162.0,7.278280570925935,1.1411084598899413,6.515473779540545,1.1411084598899413
71,3.0,163.0,8.725598258911347,1.1268885335874188,5.838753054343314,0.8223435247997566
72,3.0,164.0,15.392403171781861,1.2335104174738056,7.735035997029675,1.2154706511916125
73,3.0,165.0,11.36179645619351,1.7475734398725828,9.063504200888174,1.7475734398725828
74,3.0,166.0,11.938883986255615,1.5334459914283656,9.735388189159728,1.4711969839571788
75,3.0,167.0,13.69955027325719,0.9369081708931946,8.492929025145855,0.8367685676154304
76,3.0,168.0,20.142624026393232,0.6954921328420571,7.282989408043133,0.8194738119028937
77,3.0,169.0,10.521355607831286,1.2475053794979933,8.002723378006918,0.8943431748251953
79,3.0,170.0,15.624955968074262,1.2205171832314736,8.57590775629726,1.1195170880203769
80,3.0,171.0,12.58256044744312,1.192795948908012,7.7456663891178525,1.1510741386287302
81,3.0,172.0,8.098695619418216,1.2670233633929495,3.8961998094735044,1.133221318772776
82,3.0,173.0,14.438668906999325,1.306032546194345,10.005836337112317,1.532503098750123
83,3.0,174.0,14.355668910916801,1.1823069609794201,8.430061890134258,1.0473225366798786
84,3.0,175.0,15.702444623027754,1.306433572661284,9.28382143959566,1.2501166342190073
85,3.0,176.0,12.416296469964546,0.6611364775174646,8.05661293514453,0.6115124608941409
86,3.0,177.0,13.581326875604647,1.312525059310735,7.9127919687535835,1.3388542560004604
87,3.0,178.0,14.361125712251878,1.6367170971318536,10.096771438980216,2.239020105958808
88,3.0,179.0,9.197110677782325,1.480955019685017,6.7672344630428505,1.4568856670977581
90,3.0,180.0,13.881959640888295,1.2121180151072481,8.866111856020215,1.2285565772910232
91,3.0,181.0,9.10770857659653,1.5099885097609058,6.715967296456758,1.4539750655985788
92,3.0,182.0,10.71826485040039,1.3450556184472013,7.025857865362031,1.575949916750147
93,3.0,183.0,12.678867466610741,1.0753351732426122,7.298834012335918,1.1122298708283687
94,3.0,184.0,14.762348050362098,0.9284003291428427,7.204376619345898,0.9241989175485799
95,3.0,185.0,12.3223347238913,1.2994025780604357,8.329272703477343,1.2041532680277118
96,3.0,186.0,14.480718775649859,1.3024882513979623,7.778713479264301,1.22297638153157
97,3.0,187.0,16.513226280810546,1.2668932702078752,8.559788354790205,1.385702551112673
98,3.0,188.0,10.285971528876678,1.0722391555020465,8.822893721263153,0.8405313214276049
99,3.0,189.0,20.441378966367964,1.2595770634737562,6.44486595694181,1.2675617115798783
101,3.0,190.0,13.830215429184191,1.113520864027767,8.58240820688043,1.017425087332712
102,3.0,191.0,15.48775364994229,1.4202714865880175,8.867292518037283,1.4048099691263207
103,3.0,192.0,12.538821423625208,1.4070550859653306,7.140314875120859,1.2868848279360083
104,3.0,193.0,20.659263301260772,0.9446819660723733,8.674848915484334,1.039551626183517
105,3.0,194.0,14.978591216720437,1.1192535213647918,7.54767573874238,1.1483382565516544
106,3.0,195.0,13.912259516836425,1.6277178823617486,8.684513700070172,1.2311493157581967
107,3.0,196.0,14.530242380585255,1.1905936931518877,8.577507668663158,1.2186169027676481
108,3.0,197.0,16.919751086813495,1.586338564340302,11.768103695217363,1.4722524964069983
109,3.0,198.0,15.417479740979442,1.739646478146696,9.714095222676374,1.544708620439632
110,3.0,199.0,14.131534782186241,1.0537058314297294,7.073046286826242,0.728676915370631
113,3.0,200.0,14.026596968342666,1.4412598403469037,9.374032284339824,1.3293310187371237
